

Section,Variable Name,Variable Label,
Parent Education   ,FY58D,"Parent saw/phoned teacher when problem 82",
Parent Education   ,FY58E,"Parent volunteered for school project 82",
Parent Education   ,MAEDAT,"Mother's highest education attained",
Parent Education   ,MOMED2,"Adjusted mothers highest education 1982",
Parent Education   ,MOMED82,"Unadjusted mothers highest education 1982",
Parent Education   ,MOTHEDUC,"Mothers educational attainment 1980",
Parent Education   ,PARED,"Unadjusted highest education of parents 1982",
Parent Education   ,PARED2,"Parents's Educ. adjusted by occupation",
Parent Education   ,PAREDAT,"Parent's highest education attained",
Parent Education   ,PAREDUC,"Parents highest educational attainment 1980",
Parent Education   ,PEDATACI,"Social background and ed attainment",
Parent Family   ,BB037A,"In high school mother worked",
Parent Family   ,BB037B,"In elementary school mother worked",
Parent Family   ,BB037C,"Before elementary school mother worked",
Parent Family   ,BB038,"Fathers occupation 80",
Parent Family   ,BB040,"Years father in US 80",
Parent Family   ,BB041,"Mothers occupation 80",
Parent Family   ,BB043,"Years mother in US 80",
Parent Family   ,BB096A,"Sibling order",
Parent Family   ,DADOCC82,"Fathers occupation reported in 1982",
Parent Family   ,FY108,"Siblings in college fall 82",
Parent Family   ,FY12,"First language spoken",
Parent Family   ,HOMEOWN,"Parental home ownership 1980",
Parent Family   ,INCOME,"Fam. income - consolid. of Dresch File",
Parent Family   ,MOMOCC82,"Mothers occupation reported in 1982",
Parent Family   ,YB055,"Spending money from parents 80",
Parent Income   ,BYSES,"Socioeconomic status",
Parent Income   ,PBYSES,"Status: Socioeconomic status percentile",
Parent Income   ,SESQ,"Socioeconomic status quartile",
Parent Income   ,SESQUINT,"Socioeconomic status in quintiles",
Public Service Participation   ,MILIT,"Active duty military any time to 1992",
Public Service Participation   ,TY55A,"Discuss public/political problems 86",
Public Service Participation   ,TY55B1,"Discussion with family 86",
Public Service Participation   ,TY55B2,"Discussion with co-workers 86",
Public Service Participation   ,TY55B3,"Discussion with community leaders 86",
Public Service Participation   ,TY55C,"Discussion with politicians 86",
Public Service Participation   ,TY55D,"Campaign for or against candidate 86",
Public Service Participation   ,TY55E,"Give money to help candidate 86",
Public Service Participation   ,TY55F,"Attend social-political gatherings 86",
Public Service Participation   ,TY55G,"Work to help candidate in campaign 86",
Public Service Participation   ,TY55H,"Party officer/elected government job 86",
Public Service Participation   ,TY56,"Voter registration 86",
Public Service Participation   ,TY57,"Voted 3-1-84 to 2-1-86",
Public Service Participation   ,TY58,"Vote in 1984 presidential elect",
Public Service Participation   ,TY59A,"Youth organizations 86",
Public Service Participation   ,TY59B,"Union, farm, trade 86",
Public Service Participation   ,TY59C,"Political clubs/organizations 86",
Public Service Participation   ,TY59D,"Church related activities 86",
Public Service Participation   ,TY59E,"Community, neighborhood, social groups 86",
Public Service Participation   ,TY59F,"Organized volunteer work 86",
Public Service Participation   ,TY59G,"Social, hobby, garden group 86",
Public Service Participation   ,TY59H,"Sports teams/clubs 86",
Public Service Participation   ,TY59I,"Literary/art/music group 86",
Public Service Participation   ,TY59J,"Educational organization 86",
Public Service Participation   ,TY59K,"Service organization 86",
Public Service Participation   ,VOLPER86,"Personal interest group 1986 (aggregate)",
Public Service Participation   ,VOLPRF86,"Profess/polit group 1986 (aggregate)",
Public Service Participation   ,VOLPRF92,"Profess/polit group 1992 (aggregate)",
Public Service Participation   ,VOLSER86,"Community service 1986 (aggregate)",
Public Service Participation   ,VOLSER92,"Community service 1992 (aggregate)",
Public Service Participation   ,VOTECON,"Consistency of voting 1984-88",
Public Service Participation   ,VOTEREG,"Consistency of voter registration",
Public Service Participation   ,Y4103H,"During 9206 on active duty in the armed forces",
Public Service Participation   ,Y4502A,"Other groups or organizations 92",
Public Service Participation   ,Y4502B,"Youth organizations 92",
Public Service Participation   ,Y4502C,"Union farm trade or prof assoc 92",
Public Service Participation   ,Y4502D,"Political clubs or organizations 92",
Public Service Participation   ,Y4502E,"Church or church-related activities 92",
Public Service Participation   ,Y4502F,"Organized volunteer work 92",
Public Service Participation   ,Y4502G,"Sports teams or club 92",
Public Service Participation   ,Y4502H,"Educational organizations 92",
Public Service Participation   ,Y4502I,"Service organizations 92",
Public Service Participation   ,Y4502J,"Other voluntary groups 92",
Public Service Participation   ,Y4503,"Registered to vote",
Public Service Participation   ,Y4504,"Vote in local state national election",
Public Service Participation   ,Y4505,"Vote in 1988 presidential election",
Survey Sample   ,BYPART,"Participant in base year (1980) survey",
Survey Sample   ,CRSAMP,"Credit production analysis sample",
Survey Sample   ,DECFLAG2,"Deceased respondent flag",
Survey Sample   ,FILTER32,"Credit production sample filters",
Survey Sample   ,FU1PART,"Participant in 1st follow-up (1982)",
Survey Sample   ,FU2PART,"Participant in 2nd follow-up (1984)",
Survey Sample   ,FU3PART,"Participant in 3rd follow-up (1986)",
Survey Sample   ,FU4PART,"Fourth follow-up participation flag",
Survey Sample   ,INCFY8,"1st followup family income by one 8ths",
Survey Weights   ,WTA000,"Replicate weight for follow-up in 1992",
Survey Weights   ,WTB000,"Replicate weight for panel weight 80-82-84-86-92",
Survey Weights   ,WTC000,"Replicate weight for PSE transcripts weight",
Survey Weights   ,WTD000,"Base year replicate weight",
Survey Weights   ,WTE000,"Follow-up 1980 replicate weight",
Survey Weights   ,WTF000,"Follow-up 1996 weight",
Survey Weights   ,WTG000,"Panel 80-82-84-86 replicate weight",
Survey Weights   ,WTH000,"PSE 2nd transcript replicate weight",
Survey Weights   ,WTI000,"PSE 3rd transcript weight",
Survey Weights   ,WTJ000,"Replicate weight of 1984 w/1980-82 tests",
Survey Weights   ,WTK000,"High school transcript replicate weight",
